Административный округ,Месяц,Год,Общая сумма начисленных средств по округу (рублей),среднее_за_год
Центральный административный округ,Январь,2023,1672841174.19,1677779493.8
Центральный административный округ,Февраль,2023,1670569499.59,1677779493.8
Центральный административный округ,Март,2023,1680960450.37,1677779493.8
Центральный административный округ,Апрель,2023,1679463889.27,1677779493.8
Центральный административный округ,Май,2023,1693621275.98,1677779493.8
Центральный административный округ,Июнь,2023,1678591457.45,1677779493.8
Центральный административный округ,Июль,2023,1654538693.65,1677779493.8
Центральный административный округ,Август,2023,1639782664.75,1677779493.8
Центральный административный округ,Сентябрь,2023,1635698017.57,1677779493.8
Центральный административный округ,Октябрь,2023,1645258741.88,1677779493.8
Центральный административный округ,Ноябрь,2023,1740483615.58,1677779493.8
Центральный административный округ,Декабрь,2023,1741544445.32,1677779493.8
Центральный административный округ,Январь,2024,1773286284.27,1829198641.1008332
Центральный административный округ,Февраль,2024,1795710216.88,1829198641.1008332
Центральный административный округ,Март,2024,1799246409.98,1829198641.1008332
Центральный административный округ,Апрель,2024,1790898781.28,1829198641.1008332
Центральный административный округ,Май,2024,1791158391.35,1829198641.1008332
Центральный административный округ,Июнь,2024,1782859871.12,1829198641.1008332
Центральный административный округ,Июль,2024,1819215658.33,1829198641.1008332
Центральный административный округ,Август,2024,1874717626.17,1829198641.1008332
Центральный административный округ,Сентябрь,2024,1863198365.81,1829198641.1008332
Центральный административный округ,Октябрь,2024,1881543094.17,1829198641.1008332
Центральный административный округ,Ноябрь,2024,1884313837.22,1829198641.1008332
Центральный административный округ,Декабрь,2024,1894235156.63,1829198641.1008332
Центральный административный округ,Январь,2025,2121485813.88,2150436455.8841667
Центральный административный округ,Февраль,2025,2091275188.19,2150436455.8841667
Центральный административный округ,Март,2025,2108247316.03,2150436455.8841667
Центральный административный округ,Апрель,2025,2094000659.18,2150436455.8841667
Центральный административный округ,Май,2025,2100623797.9,2150436455.8841667
Центральный административный округ,Июнь,2025,2088093785.73,2150436455.8841667
Центральный административный округ,Июль,2025,2157225145.28,2150436455.8841667
Центральный административный округ,Август,2025,2184243305.06,2150436455.8841667
Центральный административный округ,Сентябрь,2025,2175254613.15,2150436455.8841667
Центральный административный округ,Октябрь,2025,2207602218.63,2150436455.8841667
Центральный административный округ,Ноябрь,2025,2218136644.58,2150436455.8841667
Центральный административный округ,Декабрь,2025,2259048983.0,2150436455.8841667
